row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:dru,15:ce,16:will,17:face,18:murder,19:charges,"20:,",21:conte,22:said,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L8-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96018029,0.00024036,0.00020148,0.00026280,0.00036180,0.03593008,0.00000078,0.00003250,0.00002536,0.00015125,0.00010992,0.00008806,0.00059607,0.00008194,0.00039799,0.00019381,0.00096072,0.00015555,0.00001231,0.00000196,0.00001494
L11-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98361003,0.00083117,0.00004336,0.00222075,0.00308047,0.00219110,0.00089718,0.00022461,0.00063612,0.00093415,0.00045937,0.00209001,0.00032367,0.00002063,0.00081149,0.00091482,0.00071102,0.00000000,0.00000000,0.00000000,0.00000000
L11-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99700272,0.00064141,0.00012581,0.00026894,0.00027174,0.00018815,0.00034655,0.00001209,0.00000585,0.00011556,0.00001586,0.00003909,0.00021687,0.00001039,0.00002717,0.00005040,0.00001865,0.00064282,0.00000000,0.00000000,0.00000000
L11-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99827933,0.00037232,0.00033277,0.00017985,0.00003089,0.00001688,0.00012576,0.00000421,0.00000072,0.00001288,0.00000485,0.00000182,0.00000950,0.00002566,0.00000331,0.00001854,0.00001512,0.00000421,0.00056137,0.00000000,0.00000000
L11-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98986423,0.00049700,0.00002765,0.00454928,0.00094651,0.00013416,0.00016991,0.00002379,0.00002270,0.00001689,0.00006781,0.00007257,0.00003704,0.00000602,0.00001758,0.00011136,0.00021589,0.00039451,0.00043494,0.00239020,0.00000000
"L11-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80241811,0.00240701,0.00068663,0.00078336,0.01342860,0.15356688,0.01778609,0.00396139,0.00065581,0.00058489,0.00019728,0.00034056,0.00043370,0.00002620,0.00002628,0.00060501,0.00077649,0.00022800,0.00034826,0.00012316,0.00061633
L11-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95423489,0.00094978,0.00024324,0.00160044,0.00355164,0.03121943,0.00386510,0.00084522,0.00026424,0.00033287,0.00014903,0.00050881,0.00020416,0.00001778,0.00017717,0.00034003,0.00034743,0.00025391,0.00026891,0.00050267,0.00012327
L13-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92497730,0.00609460,0.00592201,0.01104731,0.00613760,0.01839040,0.00046383,0.00041659,0.00032945,0.00166151,0.00032015,0.00049177,0.00026151,0.00005866,0.00215874,0.00562848,0.01563999,0.00000000,0.00000000,0.00000000,0.00000000
L13-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96420306,0.00336572,0.01646297,0.00350190,0.00061817,0.00246712,0.00064042,0.00012008,0.00003791,0.00079932,0.00024997,0.00019591,0.00073898,0.00031297,0.00036017,0.00034460,0.00440259,0.00117818,0.00000000,0.00000000,0.00000000
L13-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96804553,0.00270910,0.00794150,0.00960434,0.00115358,0.00222669,0.00020251,0.00002067,0.00000875,0.00075301,0.00023869,0.00029996,0.00045690,0.00013457,0.00083024,0.00127189,0.00146196,0.00012881,0.00251123,0.00000000,0.00000000
L13-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94098705,0.00639577,0.00340156,0.01283983,0.00376222,0.01163117,0.00107656,0.00063808,0.00023343,0.00118172,0.00049567,0.00096665,0.00066793,0.00028217,0.00123041,0.00532864,0.00281720,0.00113792,0.00015895,0.00476713,0.00000000
"L13-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66109246,0.01386152,0.01292143,0.01033237,0.00864722,0.10590050,0.03483700,0.00848660,0.00258072,0.01918943,0.00283559,0.01092119,0.01033802,0.00156920,0.01406335,0.05407491,0.00949343,0.01022809,0.00050090,0.00128273,0.00684335
L13-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89186108,0.00648534,0.00932989,0.00946515,0.00406376,0.02812318,0.00744406,0.00193640,0.00063805,0.00471700,0.00082802,0.00257510,0.00249267,0.00047151,0.00372858,0.01332971,0.00676303,0.00253460,0.00063422,0.00120997,0.00136867
L14-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60203594,0.00638803,0.00779871,0.02598739,0.03963493,0.09088247,0.04030712,0.07839704,0.01988808,0.01885523,0.01811022,0.01680479,0.00504034,0.00469853,0.00986973,0.00594872,0.00935279,0.00000000,0.00000000,0.00000000,0.00000000
L14-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.64215904,0.01621110,0.02401771,0.03539500,0.04319979,0.03495245,0.02872383,0.03341127,0.01655924,0.02672063,0.01749719,0.01944103,0.00926877,0.02491109,0.01240336,0.00585315,0.00512273,0.00415254,0.00000000,0.00000000,0.00000000
L14-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82571167,0.00759048,0.01523829,0.02618174,0.02236915,0.00576202,0.00439344,0.00830195,0.00664481,0.00444223,0.00662478,0.01227435,0.00144775,0.01496151,0.01649613,0.00858791,0.00664562,0.00131126,0.00501494,0.00000000,0.00000000
L14-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80804503,0.00414149,0.00674928,0.01492146,0.01505760,0.03590843,0.01370817,0.02434770,0.00881847,0.01161714,0.00917950,0.00573236,0.00153184,0.00092986,0.00514539,0.00543654,0.00344140,0.00673125,0.00243246,0.01612471,0.00000000
"L14-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14722940,0.01184782,0.01415610,0.05276225,0.14152764,0.12619577,0.05780040,0.23917806,0.02835592,0.01324377,0.02403973,0.02582555,0.00405269,0.00927409,0.03710385,0.01742215,0.00976352,0.01606180,0.00591479,0.00525588,0.01298887
L14-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60503622,0.00923578,0.01359202,0.03104957,0.05235782,0.05874023,0.02898659,0.07672720,0.01605330,0.01497580,0.01509028,0.01601561,0.00426828,0.01095502,0.01620369,0.00864969,0.00686521,0.00565137,0.00267244,0.00427612,0.00259777
L15-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66493022,0.01293662,0.03312291,0.01669546,0.02081070,0.04340237,0.02126497,0.01426498,0.01313225,0.03716949,0.01304180,0.01027387,0.01091393,0.00606361,0.01858595,0.03849461,0.02489627,0.00000000,0.00000000,0.00000000,0.00000000
L15-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75443500,0.01616619,0.03423471,0.00582124,0.00651886,0.00743140,0.00710276,0.00329112,0.01071822,0.02655475,0.02970937,0.00841773,0.00405686,0.01166101,0.01590529,0.01335587,0.02155145,0.02306809,0.00000000,0.00000000,0.00000000
L15-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83937567,0.00962948,0.06780534,0.00608910,0.00327948,0.00123687,0.00092442,0.00045537,0.00056092,0.00154698,0.00178730,0.00072997,0.00041184,0.00199090,0.00398850,0.00887292,0.02139931,0.00790906,0.02200645,0.00000000,0.00000000
L15-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80703008,0.01188952,0.02741507,0.01325455,0.01440560,0.02015999,0.00515595,0.00500026,0.00213077,0.00569439,0.00400325,0.00486161,0.00074978,0.00121517,0.00957067,0.01518745,0.02239113,0.00647562,0.00328995,0.02011915,0.00000000
"L15-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.39779484,0.00168561,0.00152950,0.00144486,0.00450907,0.06993058,0.03258896,0.05374682,0.08915688,0.18090035,0.08227325,0.02931480,0.01832597,0.00534300,0.01895178,0.00576494,0.00089042,0.00063468,0.00045196,0.00054631,0.00421544
L15-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69271317,0.01046149,0.03282151,0.00866104,0.00990474,0.02843224,0.01340741,0.01535171,0.02313981,0.05037319,0.02616300,0.01071959,0.00689167,0.00525474,0.01340044,0.01633516,0.01822572,0.00761749,0.00514967,0.00413309,0.00084309
L16-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88201308,0.00721389,0.00232528,0.02083515,0.05538533,0.01686228,0.00071565,0.00013476,0.00071867,0.00421731,0.00021921,0.00199909,0.00054040,0.00002819,0.00069928,0.00042819,0.00566426,0.00000000,0.00000000,0.00000000,0.00000000
L16-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96734858,0.00422297,0.00132305,0.00128681,0.00714876,0.00341796,0.00150229,0.00036742,0.00036543,0.00238468,0.00044954,0.00024522,0.00084059,0.00017059,0.00046981,0.00024412,0.00057335,0.00763881,0.00000000,0.00000000,0.00000000
L16-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98420382,0.00150215,0.00589842,0.00391999,0.00074962,0.00044249,0.00076320,0.00034503,0.00019114,0.00048972,0.00011084,0.00003030,0.00008645,0.00021047,0.00004492,0.00004798,0.00005964,0.00011083,0.00079301,0.00000000,0.00000000
L16-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95188218,0.00350794,0.00042431,0.01364695,0.00962131,0.00205002,0.00010788,0.00003580,0.00009058,0.00105452,0.00019600,0.00086482,0.00027843,0.00004986,0.00061776,0.00069782,0.00476087,0.00410697,0.00303344,0.00297245,0.00000000
"L16-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89002788,0.00315665,0.00017730,0.00060657,0.01478215,0.05868695,0.00383526,0.00027004,0.00072275,0.00209449,0.00071126,0.00283570,0.00612830,0.00016588,0.00060117,0.00814542,0.00191421,0.00059844,0.00075292,0.00015411,0.00363245
L16-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93509511,0.00392072,0.00202968,0.00805909,0.01753744,0.01629194,0.00138486,0.00023061,0.00041772,0.00204814,0.00033737,0.00119503,0.00157483,0.00012500,0.00048659,0.00191271,0.00259447,0.00249101,0.00091587,0.00062531,0.00072649
L17-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54023886,0.01404966,0.01226166,0.03025981,0.02681672,0.02346714,0.08054115,0.05564027,0.02684460,0.05565009,0.02100021,0.01604344,0.01161610,0.02526201,0.02153731,0.02094941,0.01782159,0.00000000,0.00000000,0.00000000,0.00000000
L17-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.62552029,0.01094979,0.02344146,0.02328560,0.02021976,0.01220090,0.01078997,0.01115935,0.02392289,0.03447951,0.03146065,0.01358180,0.00698113,0.05647414,0.02630115,0.02428699,0.02524210,0.01970254,0.00000000,0.00000000,0.00000000
L17-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.67454386,0.00879522,0.03412865,0.06444746,0.04735244,0.00637109,0.00408994,0.00541222,0.02280346,0.00630090,0.01089271,0.00663084,0.00320063,0.00787973,0.01729676,0.03652766,0.02543864,0.00984904,0.00803868,0.00000000,0.00000000
L17-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66665518,0.01369733,0.01972785,0.02036658,0.01809567,0.01596847,0.01264969,0.01863375,0.01743946,0.02078227,0.01868650,0.01002333,0.00344877,0.01541781,0.01533865,0.02032904,0.01922925,0.01029889,0.00353226,0.05967927,0.00000000
"L17-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48357341,0.00618047,0.00343767,0.00948760,0.01606640,0.04424070,0.06855124,0.04360819,0.03657673,0.08833843,0.03307525,0.01565370,0.01173469,0.03652557,0.02079939,0.01340077,0.00580632,0.00198346,0.00242404,0.00710704,0.05142890
L17-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59810632,0.01073449,0.01859946,0.02956941,0.02571020,0.02044966,0.03532440,0.02689076,0.02551743,0.04111024,0.02302307,0.01238662,0.00739626,0.02831185,0.02025465,0.02309878,0.01870758,0.00836679,0.00279900,0.01335726,0.01028578
L18-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59755045,0.02373463,0.00307727,0.01296633,0.02796580,0.08598922,0.07236407,0.03865486,0.02848596,0.02811355,0.00990032,0.01369339,0.00984177,0.00664019,0.01856351,0.01495707,0.00750152,0.00000000,0.00000000,0.00000000,0.00000000
L18-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93072337,0.00705049,0.00816474,0.00321974,0.00437120,0.00424395,0.00609493,0.00232160,0.00461009,0.00446929,0.00308731,0.00242905,0.00226599,0.00383327,0.00338190,0.00293789,0.00495880,0.00183640,0.00000000,0.00000000,0.00000000
L18-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.86165947,0.00247132,0.09461810,0.00749305,0.00378161,0.00188319,0.00110116,0.00069224,0.00203144,0.00179899,0.00879983,0.00274312,0.00011518,0.00142101,0.00215365,0.00175896,0.00445632,0.00026760,0.00075373,0.00000000,0.00000000
L18-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82805872,0.01348689,0.00261569,0.00644088,0.01043827,0.05749594,0.03016358,0.00449697,0.00430184,0.00890348,0.00441494,0.00659718,0.00214285,0.00187054,0.00563896,0.00472189,0.00203963,0.00243237,0.00133520,0.00240428,0.00000000
"L18-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22575313,0.00046348,0.00025742,0.00097765,0.00302483,0.38672477,0.29103115,0.00278382,0.00134618,0.04970254,0.00124800,0.00496256,0.02400165,0.00060328,0.00485985,0.00072785,0.00004284,0.00003674,0.00005841,0.00005673,0.00133703
L18-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.68874903,0.00944136,0.02174665,0.00621953,0.00991634,0.10726741,0.08015098,0.00978990,0.00815510,0.01859757,0.00549008,0.00608506,0.00767349,0.00287366,0.00691957,0.00502073,0.00379982,0.00091462,0.00042947,0.00049220,0.00026741
L19-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48736590,0.01149217,0.01497873,0.01605564,0.01883053,0.24499232,0.03968065,0.00871566,0.01044086,0.06588679,0.01330425,0.00622464,0.04883042,0.00135721,0.00432197,0.00375964,0.00376266,0.00000000,0.00000000,0.00000000,0.00000000
L19-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.90567422,0.00490324,0.00927172,0.00475946,0.00801404,0.03508987,0.00308947,0.00027979,0.00038914,0.00793803,0.00069569,0.00099373,0.00774884,0.00047176,0.00114449,0.00183691,0.00080076,0.00689896,0.00000000,0.00000000,0.00000000
L19-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89534402,0.00198136,0.03723267,0.01571539,0.00625090,0.01381271,0.00131004,0.00041075,0.00031148,0.00409886,0.00112618,0.00208228,0.00065986,0.00029341,0.00225947,0.00135877,0.00118299,0.00213083,0.01243794,0.00000000,0.00000000
L19-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48706651,0.01198737,0.02161253,0.02008933,0.01766857,0.33582109,0.02057406,0.01100402,0.00480879,0.03129320,0.00388798,0.00424666,0.01148812,0.00107821,0.00155459,0.00211180,0.00369572,0.00415319,0.00456388,0.00129444,0.00000000
"L19-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34175751,0.00492929,0.00442366,0.00461073,0.00890598,0.46109098,0.01476366,0.00615624,0.01328935,0.06615752,0.02016511,0.00663430,0.03339145,0.00179891,0.00354182,0.00217046,0.00127431,0.00085607,0.00184454,0.00019260,0.00204548
L19-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.62344163,0.00705869,0.01750386,0.01224611,0.01193400,0.21816139,0.01588358,0.00531329,0.00584792,0.03507488,0.00783584,0.00403632,0.02042374,0.00099990,0.00256447,0.00224752,0.00214329,0.00280781,0.00376927,0.00029741,0.00040910
L20-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.33675617,0.00501107,0.00387773,0.01900238,0.01048693,0.06647515,0.11975393,0.07563437,0.07671062,0.09542497,0.09351926,0.00718161,0.04004512,0.02567796,0.00415419,0.00954636,0.01074224,0.00000000,0.00000000,0.00000000,0.00000000
L20-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75178879,0.00020088,0.00096115,0.00654721,0.00345766,0.02510063,0.02852965,0.03055817,0.01410181,0.05781806,0.02708585,0.00255019,0.02615066,0.01430188,0.00118441,0.00653922,0.00240274,0.00072111,0.00000000,0.00000000,0.00000000
L20-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88184851,0.00120903,0.00421296,0.01187839,0.00570386,0.00405503,0.01516560,0.00940767,0.00578440,0.01355949,0.01085523,0.00146948,0.00612441,0.02041869,0.00153359,0.00360735,0.00164078,0.00034352,0.00118197,0.00000000,0.00000000
L20-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75381595,0.00442612,0.00689631,0.02225617,0.01177606,0.01028915,0.02330577,0.02626526,0.01641988,0.01231441,0.03087942,0.00468826,0.00448805,0.01186934,0.00396271,0.01679236,0.02715111,0.00325805,0.00236769,0.00677780,0.00000000
"L20-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.24628653,0.00058461,0.00110616,0.00435334,0.00310708,0.03142909,0.13759017,0.09092972,0.09160621,0.11952578,0.15718058,0.00843157,0.05858058,0.04010218,0.00193034,0.00220886,0.00281786,0.00067640,0.00017328,0.00015825,0.00122140
L20-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59409919,0.00228634,0.00341086,0.01280750,0.00690632,0.02746981,0.06486902,0.04655904,0.04092458,0.05972854,0.06390407,0.00486422,0.02707776,0.02247401,0.00255305,0.00773883,0.00895095,0.00099982,0.00074459,0.00138721,0.00024428
L21-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.58387524,0.00240182,0.00970285,0.00513151,0.00266315,0.08907738,0.01152855,0.02505900,0.02279472,0.05172438,0.06899261,0.00499456,0.10895934,0.00395424,0.00213760,0.00299312,0.00400991,0.00000000,0.00000000,0.00000000,0.00000000
