row_label,0:<blank>,1:<blank>,2:<blank>,3:This,4:sentence,5::,"6:""",7:a,8:man,9:with,10:a,11:hard,12:hat,13:is,14:dan,15:cing,16:.,"17:""",18:means,19:in,20:one,21:word,"22::"""
"L7-:""",0.00000000,0.00000000,0.94947863,0.00171377,0.00067611,0.00067179,0.00592087,0.03403147,0.00241534,0.00003814,0.00024691,0.00065489,0.00000431,0.00000374,0.00007732,0.00002722,0.00014462,0.00156841,0.00178539,0.00014775,0.00001106,0.00001608,0.00036627
L7-mean,0.00000000,0.00000000,0.98357437,0.00156926,0.00050883,0.00119440,0.00148851,0.00692812,0.00055450,0.00005764,0.00011597,0.00022182,0.00001117,0.00000678,0.00006571,0.00001523,0.00005623,0.00053317,0.00060349,0.00055019,0.00149096,0.00038033,0.00007325
L8-means,0.00000000,0.00000000,0.99642783,0.00033357,0.00004019,0.00139264,0.00071648,0.00009042,0.00000207,0.00004424,0.00010329,0.00000230,0.00001100,0.00000088,0.00046781,0.00008366,0.00010817,0.00002489,0.00015053,0.00000000,0.00000000,0.00000000,0.00000000
L8-in,0.00000000,0.00000000,0.99708003,0.00079657,0.00002002,0.00008177,0.00007203,0.00000024,0.00001118,0.00002013,0.00020813,0.00001712,0.00001524,0.00000099,0.00101229,0.00005674,0.00000068,0.00003096,0.00000309,0.00057272,0.00000000,0.00000000,0.00000000
L8-one,0.00000000,0.00000000,0.99870944,0.00029408,0.00048819,0.00003912,0.00001453,0.00000197,0.00013720,0.00000365,0.00000545,0.00004422,0.00000427,0.00000301,0.00000449,0.00000681,0.00000247,0.00003752,0.00001117,0.00000157,0.00019080,0.00000000,0.00000000
L8-word,0.00000000,0.00000000,0.99663192,0.00008848,0.00004118,0.00065636,0.00010799,0.00001199,0.00000060,0.00012919,0.00001294,0.00000063,0.00000762,0.00000973,0.00000777,0.00000606,0.00002308,0.00069680,0.00151904,0.00003053,0.00000101,0.00001703,0.00000000
"L8-:""",0.00000000,0.00000000,0.73912412,0.00055655,0.00149560,0.00003673,0.00158308,0.24739808,0.00695016,0.00000797,0.00005762,0.00075716,0.00000104,0.00000042,0.00011719,0.00001392,0.00016262,0.00010216,0.00154105,0.00004632,0.00000110,0.00000600,0.00004116
L8-mean,0.00000000,0.00000000,0.94559467,0.00041385,0.00041704,0.00044133,0.00049882,0.04950054,0.00142024,0.00004103,0.00007749,0.00016428,0.00000783,0.00000301,0.00032191,0.00003344,0.00005940,0.00017846,0.00064497,0.00013023,0.00003858,0.00000461,0.00000823
L11-means,0.00000000,0.00000000,0.98700786,0.00075012,0.00003794,0.00170274,0.00149932,0.00043522,0.00018236,0.00010699,0.00006735,0.00005201,0.00001356,0.00006407,0.00110891,0.00118164,0.00263168,0.00115302,0.00200515,0.00000000,0.00000000,0.00000000,0.00000000
L11-in,0.00000000,0.00000000,0.99626935,0.00059497,0.00010114,0.00018549,0.00013954,0.00001643,0.00005973,0.00003093,0.00008276,0.00021107,0.00004907,0.00001439,0.00049011,0.00034611,0.00012062,0.00012479,0.00004136,0.00112222,0.00000000,0.00000000,0.00000000
L11-one,0.00000000,0.00000000,0.99806130,0.00036333,0.00042754,0.00012336,0.00001466,0.00000126,0.00003436,0.00001581,0.00000190,0.00005822,0.00005345,0.00000401,0.00000176,0.00000157,0.00001264,0.00002999,0.00003236,0.00000616,0.00075627,0.00000000,0.00000000
L11-word,0.00000000,0.00000000,0.99074912,0.00037966,0.00003107,0.00408152,0.00042287,0.00002076,0.00000963,0.00004918,0.00000128,0.00000091,0.00001356,0.00002367,0.00000433,0.00000782,0.00002795,0.00016388,0.00064789,0.00030646,0.00025440,0.00280410,0.00000000
"L11-:""",0.00000000,0.00000000,0.88805133,0.00224667,0.00068673,0.00066680,0.00916615,0.07758933,0.01730070,0.00040844,0.00013598,0.00073783,0.00003325,0.00003259,0.00035051,0.00004207,0.00007658,0.00068128,0.00057642,0.00027919,0.00019178,0.00011621,0.00063025
L11-mean,0.00000000,0.00000000,0.97202779,0.00086695,0.00025688,0.00135198,0.00224851,0.01561260,0.00351735,0.00012227,0.00005785,0.00021201,0.00003258,0.00002775,0.00039112,0.00031584,0.00057390,0.00043059,0.00066063,0.00034280,0.00024049,0.00058406,0.00012605
L13-means,0.00000000,0.00000000,0.94185108,0.00512395,0.00523259,0.01006711,0.00521859,0.01348182,0.00321008,0.00046593,0.00010182,0.00010695,0.00000504,0.00005664,0.00069398,0.00007446,0.00106072,0.00370690,0.00954232,0.00000000,0.00000000,0.00000000,0.00000000
L13-in,0.00000000,0.00000000,0.97819692,0.00217115,0.00686707,0.00166256,0.00040800,0.00084238,0.00066140,0.00119061,0.00052505,0.00068893,0.00230865,0.00006478,0.00145238,0.00009061,0.00034185,0.00058754,0.00159146,0.00034857,0.00000000,0.00000000,0.00000000
L13-one,0.00000000,0.00000000,0.96491140,0.00180480,0.00373996,0.00621534,0.00073457,0.00076148,0.00237746,0.00467214,0.00048960,0.00078096,0.00670978,0.00079347,0.00067181,0.00018496,0.00080131,0.00285030,0.00097446,0.00004151,0.00048465,0.00000000,0.00000000
L13-word,0.00000000,0.00000000,0.94679409,0.00485316,0.00247949,0.01131583,0.00312540,0.00603326,0.00227529,0.00177498,0.00118565,0.00074856,0.00158974,0.00096073,0.00168991,0.00058325,0.00166498,0.00562623,0.00202211,0.00076855,0.00005686,0.00445191,0.00000000
"L13-:""",0.00000000,0.00000000,0.74210674,0.01014227,0.00596869,0.00360631,0.00452961,0.06756865,0.05444989,0.00955586,0.00753235,0.00430028,0.00065467,0.00215806,0.00117024,0.00058152,0.00927923,0.05824654,0.00481956,0.00802749,0.00024563,0.00095542,0.00410116
L13-mean,0.00000000,0.00000000,0.91477205,0.00481906,0.00485756,0.00657343,0.00280323,0.01773752,0.01259482,0.00353190,0.00196689,0.00132514,0.00225358,0.00080674,0.00113566,0.00030296,0.00262962,0.01420350,0.00378998,0.00183722,0.00015743,0.00108147,0.00082023
L14-means,0.00000000,0.00000000,0.62213266,0.01205494,0.02284577,0.07463599,0.03125134,0.03164309,0.02991733,0.01521838,0.00423780,0.00282749,0.00902372,0.01674282,0.00304104,0.00676009,0.04005923,0.04184366,0.03576466,0.00000000,0.00000000,0.00000000,0.00000000
L14-in,0.00000000,0.00000000,0.59773207,0.01405611,0.01289481,0.02309330,0.01931125,0.03039560,0.02713258,0.02059730,0.00868713,0.00705396,0.04417334,0.02806412,0.01147369,0.01561896,0.05749350,0.04881354,0.02482590,0.00858283,0.00000000,0.00000000,0.00000000
L14-one,0.00000000,0.00000000,0.76694614,0.00686304,0.01620528,0.02594800,0.01365616,0.01267201,0.00827240,0.00754856,0.00614997,0.00497427,0.00688590,0.01011964,0.01180378,0.00874991,0.02040492,0.02425773,0.02259437,0.01318190,0.01276611,0.00000000,0.00000000
L14-word,0.00000000,0.00000000,0.76014245,0.01279178,0.01294723,0.01843609,0.01715082,0.01704084,0.01000438,0.00432939,0.00171691,0.00199094,0.00386767,0.00651825,0.00176160,0.00275828,0.01973980,0.03904519,0.01991655,0.01171181,0.00790595,0.03022407,0.00000000
"L14-:""",0.00000000,0.00000000,0.49421495,0.01115519,0.01208642,0.02075600,0.02419823,0.05497558,0.04616426,0.03511782,0.01089661,0.00601964,0.01957985,0.05711398,0.00646325,0.02408589,0.10296407,0.03245300,0.01220535,0.00596407,0.00355103,0.00546006,0.01457477
L14-mean,0.00000000,0.00000000,0.64823365,0.01138421,0.01539590,0.03257388,0.02111356,0.02934542,0.02429819,0.01656229,0.00633768,0.00457326,0.01670610,0.02371176,0.00690867,0.01159462,0.04813230,0.03728262,0.02306137,0.00788812,0.00484462,0.00713683,0.00291495
L15-means,0.00000000,0.00000000,0.58121258,0.00928458,0.01553388,0.01477715,0.01520661,0.03914474,0.09433507,0.01607095,0.00697886,0.03283481,0.03324389,0.01944146,0.01209630,0.02239971,0.02491173,0.04478395,0.01774374,0.00000000,0.00000000,0.00000000,0.00000000
L15-in,0.00000000,0.00000000,0.81328863,0.01258319,0.01253124,0.00573332,0.00690566,0.00658847,0.01358963,0.00381149,0.00299904,0.01462019,0.01445697,0.00243875,0.00841814,0.00427133,0.00853622,0.01861707,0.01949001,0.03112064,0.00000000,0.00000000,0.00000000
L15-one,0.00000000,0.00000000,0.89460099,0.00767133,0.02645930,0.00450701,0.00288422,0.00131995,0.00412487,0.00054689,0.00060218,0.00225211,0.00514379,0.00061164,0.00475215,0.00166668,0.00208471,0.01018463,0.01123687,0.00697816,0.01237251,0.00000000,0.00000000
L15-word,0.00000000,0.00000000,0.80753469,0.00911840,0.01585611,0.01251561,0.01518256,0.01647458,0.01242081,0.00329195,0.00150299,0.00640562,0.00496052,0.00524388,0.00412876,0.00434860,0.01146170,0.02072857,0.01835372,0.00779995,0.00251818,0.02015272,0.00000000
"L15-:""",0.00000000,0.00000000,0.11724461,0.00026901,0.00012531,0.00022387,0.00048924,0.02419991,0.41468778,0.10055201,0.02785403,0.08001111,0.05841121,0.08681811,0.01185215,0.06664418,0.00742307,0.00148795,0.00018592,0.00013248,0.00008611,0.00015372,0.00114829
L15-mean,0.00000000,0.00000000,0.64277630,0.00778530,0.01410117,0.00755139,0.00813366,0.01754553,0.10783163,0.02485466,0.00798742,0.02722477,0.02324328,0.02291077,0.00824950,0.01986610,0.01088349,0.01916043,0.01340205,0.00920625,0.00299536,0.00406129,0.00022966
L16-means,0.00000000,0.00000000,0.78492874,0.00432504,0.00201256,0.02396939,0.03740836,0.01304718,0.02458927,0.02928585,0.00705395,0.00487006,0.00770615,0.01227149,0.00342825,0.02336771,0.01266108,0.00499919,0.00407578,0.00000000,0.00000000,0.00000000,0.00000000
L16-in,0.00000000,0.00000000,0.87281042,0.00556056,0.00257509,0.00948811,0.00716859,0.00893479,0.01173887,0.02900193,0.01358779,0.01578752,0.00499287,0.00237573,0.00106667,0.00272685,0.00438576,0.00440430,0.00046262,0.00293145,0.00000000,0.00000000,0.00000000
L16-one,0.00000000,0.00000000,0.96257257,0.00223559,0.00615575,0.00496412,0.00179281,0.00147597,0.00406271,0.00464010,0.00089749,0.00404020,0.00152521,0.00038579,0.00023420,0.00085086,0.00118657,0.00160127,0.00034783,0.00023061,0.00080036,0.00000000,0.00000000
L16-word,0.00000000,0.00000000,0.86865252,0.00604641,0.00176743,0.03008430,0.01514901,0.03147363,0.00815704,0.00212659,0.00056362,0.00097214,0.00093707,0.00167917,0.00100558,0.00441329,0.00566408,0.00758294,0.00392689,0.00363172,0.00177471,0.00439180,0.00000000
"L16-:""",0.00000000,0.00000000,0.84421521,0.00263795,0.00028860,0.00063423,0.00678213,0.04386885,0.03128746,0.01466956,0.00343605,0.00455527,0.00623958,0.00776295,0.00535618,0.01255928,0.00559289,0.00690047,0.00063229,0.00025459,0.00031255,0.00013379,0.00188003
L16-mean,0.00000000,0.00000000,0.86663589,0.00416111,0.00255989,0.01382803,0.01366018,0.01976008,0.01596707,0.01594480,0.00510778,0.00604504,0.00428018,0.00489503,0.00221818,0.00878360,0.00589808,0.00509763,0.00188908,0.00140967,0.00057752,0.00090512,0.00037601
L17-means,0.00000000,0.00000000,0.41709906,0.01090699,0.01463327,0.03762133,0.03893866,0.04890813,0.08272402,0.03694306,0.01519972,0.03783471,0.06683483,0.06215505,0.01943711,0.05224917,0.03811722,0.01139982,0.00899789,0.00000000,0.00000000,0.00000000,0.00000000
L17-in,0.00000000,0.00000000,0.75967157,0.01384301,0.03294519,0.01763087,0.01555341,0.01234259,0.01519021,0.00666345,0.00447210,0.01364680,0.01922748,0.00996657,0.00718513,0.01342566,0.01773218,0.01492738,0.01323560,0.01234080,0.00000000,0.00000000,0.00000000
L17-one,0.00000000,0.00000000,0.78621233,0.00605910,0.01328193,0.01616403,0.01690251,0.00957678,0.01221779,0.00580895,0.00260714,0.00530180,0.01450989,0.00893968,0.00826513,0.01203969,0.02884845,0.02237407,0.01759951,0.00782992,0.00546125,0.00000000,0.00000000
L17-word,0.00000000,0.00000000,0.64293098,0.01111686,0.01017296,0.03906233,0.01858862,0.02331605,0.02410048,0.01200955,0.00444546,0.03368770,0.01389785,0.02017888,0.01062181,0.02660996,0.04040297,0.01920370,0.01590336,0.00820158,0.00370443,0.02184456,0.00000000
"L17-:""",0.00000000,0.00000000,0.56263244,0.00355068,0.00246227,0.00361811,0.00898021,0.02329731,0.05369542,0.01739727,0.01080032,0.05685804,0.07091247,0.02417975,0.04363485,0.05546982,0.01612198,0.01179026,0.00172606,0.00146263,0.00231975,0.00099343,0.02809678
L17-mean,0.00000000,0.00000000,0.63370928,0.00909533,0.01469913,0.02281933,0.01979268,0.02348817,0.03758558,0.01576446,0.00750495,0.02946581,0.03707650,0.02508398,0.01782881,0.03195886,0.02824456,0.01593905,0.01149248,0.00596699,0.00229709,0.00456760,0.00561936
L18-means,0.00000000,0.00000000,0.65180176,0.01701025,0.00149753,0.00639992,0.01767832,0.06634226,0.04375213,0.02197334,0.01954623,0.01351352,0.00569734,0.04874310,0.02149890,0.04724943,0.00793803,0.00643642,0.00292145,0.00000000,0.00000000,0.00000000,0.00000000
L18-in,0.00000000,0.00000000,0.91804171,0.00956228,0.00415941,0.00331479,0.00691907,0.00630172,0.00569899,0.00308761,0.00383140,0.00396229,0.00328224,0.00473661,0.00401584,0.00757831,0.00172563,0.00329779,0.00652451,0.00395972,0.00000000,0.00000000,0.00000000
L18-one,0.00000000,0.00000000,0.88529700,0.00160217,0.03743223,0.00595855,0.00375892,0.00116859,0.01147176,0.00193475,0.00053935,0.00141085,0.01634383,0.00618924,0.00526724,0.00877268,0.00289113,0.00218741,0.00665261,0.00051984,0.00060175,0.00000000,0.00000000
L18-word,0.00000000,0.00000000,0.82650894,0.00896146,0.00080708,0.00285700,0.00649962,0.04944287,0.01050207,0.00816911,0.01294504,0.01484424,0.00401464,0.01104745,0.01549745,0.01674504,0.00357780,0.00242514,0.00084823,0.00270517,0.00088219,0.00071949,0.00000000
"L18-:""",0.00000000,0.00000000,0.94421446,0.00015003,0.00014330,0.00015488,0.00055353,0.00202032,0.00424588,0.00136359,0.00247457,0.01062444,0.01072445,0.00314642,0.01175907,0.00603599,0.00096329,0.00020676,0.00001437,0.00005324,0.00003153,0.00003214,0.00108768
L18-mean,0.00000000,0.00000000,0.84517277,0.00745724,0.00880791,0.00373703,0.00708189,0.02505515,0.01513417,0.00730568,0.00786732,0.00887107,0.00801250,0.01477256,0.01160770,0.01727629,0.00341918,0.00291071,0.00339223,0.00144759,0.00030309,0.00015033,0.00021754
L19-means,0.00000000,0.00000000,0.66057062,0.01073765,0.00818137,0.01087024,0.04207286,0.03251502,0.04243216,0.01447063,0.02650474,0.04444874,0.00942559,0.02144791,0.01735913,0.01817273,0.00685587,0.02220582,0.01172900,0.00000000,0.00000000,0.00000000,0.00000000
L19-in,0.00000000,0.00000000,0.92022139,0.00313291,0.00966342,0.00329677,0.00728871,0.00257900,0.00311411,0.00274553,0.00378807,0.00757421,0.00503115,0.00339803,0.00607296,0.00697842,0.00121706,0.00614977,0.00240707,0.00534141,0.00000000,0.00000000,0.00000000
L19-one,0.00000000,0.00000000,0.87755442,0.00119645,0.03399936,0.00590085,0.00342148,0.00108919,0.01082440,0.00236092,0.00089550,0.00667060,0.01984475,0.00454251,0.01036553,0.01112052,0.00132838,0.00212085,0.00202256,0.00098894,0.00375283,0.00000000,0.00000000
L19-word,0.00000000,0.00000000,0.70282203,0.00935749,0.01128960,0.00911600,0.02201945,0.03672166,0.03026664,0.01112689,0.02150709,0.04590384,0.00998371,0.01468237,0.02233583,0.01572994,0.00504451,0.01117770,0.00745504,0.00379862,0.00304632,0.00661531,0.00000000
"L19-:""",0.00000000,0.00000000,0.69307876,0.00166477,0.00384069,0.00206135,0.01013198,0.01421525,0.03089164,0.00618685,0.00969721,0.04773166,0.02720302,0.01470373,0.06993034,0.04778792,0.00388455,0.00671858,0.00081483,0.00072647,0.00108701,0.00136512,0.00627830
L19-mean,0.00000000,0.00000000,0.77084944,0.00521786,0.01339489,0.00624904,0.01698690,0.01742402,0.02350579,0.00737817,0.01247852,0.03046581,0.01429764,0.01175491,0.02521276,0.01995790,0.00366607,0.00967455,0.00488570,0.00217109,0.00157723,0.00159609,0.00125566
L20-means,0.00000000,0.00000000,0.77254230,0.00269600,0.00281745,0.00717535,0.00470887,0.02120149,0.02116860,0.01403777,0.00829640,0.02076703,0.02675214,0.00945761,0.03839772,0.02853237,0.00724523,0.00867105,0.00553255,0.00000000,0.00000000,0.00000000,0.00000000
L20-in,0.00000000,0.00000000,0.83895022,0.00057345,0.00213207,0.00272522,0.00179654,0.00283846,0.00436368,0.00330770,0.00304241,0.01858864,0.05834861,0.00423031,0.01684720,0.03013811,0.00247786,0.00602992,0.00221283,0.00139678,0.00000000,0.00000000,0.00000000
L20-one,0.00000000,0.00000000,0.88624376,0.00095229,0.00677227,0.00567874,0.00279552,0.00154969,0.00388584,0.00147853,0.00084694,0.00815876,0.05344394,0.00382893,0.00734784,0.00774572,0.00130742,0.00341981,0.00208276,0.00048272,0.00197859,0.00000000,0.00000000
L20-word,0.00000000,0.00000000,0.83142048,0.00230405,0.00360715,0.00689359,0.00392289,0.00742124,0.00886204,0.00774622,0.00583315,0.01546472,0.03236790,0.00907770,0.02014277,0.01558847,0.00578017,0.00903074,0.00817008,0.00186570,0.00144321,0.00305768,0.00000000
"L20-:""",0.00000000,0.00000000,0.70848608,0.00187358,0.00187209,0.00186283,0.00307751,0.01463550,0.02247797,0.01169333,0.00743218,0.03619477,0.04860193,0.01042666,0.07111884,0.04319677,0.00515335,0.00279849,0.00098245,0.00057761,0.00071102,0.00041063,0.00641644
L20-mean,0.00000000,0.00000000,0.80752857,0.00167987,0.00344021,0.00486715,0.00326027,0.00952928,0.01215163,0.00765271,0.00509021,0.01983478,0.04390291,0.00740424,0.03077087,0.02504029,0.00439281,0.00599000,0.00379613,0.00086456,0.00082656,0.00069366,0.00128329
L21-means,0.00000000,0.00000000,0.86831564,0.00198319,0.00479337,0.00545026,0.00284007,0.00755265,0.02157649,0.00409394,0.00182938,0.01062907,0.01134009,0.00527599,0.01583143,0.02552667,0.00369101,0.00514340,0.00412739,0.00000000,0.00000000,0.00000000,0.00000000
L21-in,0.00000000,0.00000000,0.94842374,0.00063403,0.00269011,0.00150832,0.00084002,0.00141879,0.00561975,0.00077488,0.00057614,0.00314915,0.01480305,0.00122042,0.00447717,0.01055036,0.00098923,0.00123496,0.00042680,0.00066303,0.00000000,0.00000000,0.00000000
L21-one,0.00000000,0.00000000,0.93587047,0.00084488,0.00491959,0.00282309,0.00141281,0.00111737,0.01401334,0.00116004,0.00067789,0.00231362,0.01515032,0.00295233,0.00280808,0.00452994,0.00149436,0.00157791,0.00052988,0.00172787,0.00407624,0.00000000,0.00000000
L21-word,0.00000000,0.00000000,0.85514367,0.00238745,0.00589698,0.00453685,0.00228273,0.00632112,0.01771329,0.00436114,0.00215628,0.01594348,0.02160015,0.00553304,0.01848272,0.01964092,0.00322414,0.00350943,0.00243365,0.00149275,0.00115968,0.00618063,0.00000000
"L21-:""",0.00000000,0.00000000,0.71466398,0.00140494,0.00187417,0.00212902,0.00208949,0.00899138,0.03707735,0.01048029,0.00584823,0.06747745,0.05646922,0.01381484,0.03450093,0.02826891,0.00411733,0.00338158,0.00085410,0.00073836,0.00094790,0.00252489,0.00234561
L21-mean,0.00000000,0.00000000,0.86448350,0.00145090,0.00403484,0.00328950,0.00189303,0.00508026,0.01920005,0.00417406,0.00221758,0.01990255,0.02387256,0.00575932,0.01522006,0.01770336,0.00270321,0.00296946,0.00167436,0.00092440,0.00123676,0.00174110,0.00046912
L22-means,0.00000000,0.00000000,0.71916187,0.00150170,0.00326315,0.01056379,0.00719279,0.00687996,0.03673617,0.02183286,0.00390441,0.03179105,0.03961910,0.03024681,0.01013844,0.04977833,0.00480258,0.01589498,0.00669207,0.00000000,0.00000000,0.00000000,0.00000000
L22-in,0.00000000,0.00000000,0.86335754,0.00378744,0.00273489,0.00608934,0.00677651,0.00366965,0.00694822,0.00806373,0.00204372,0.02284951,0.02743093,0.00982096,0.00654712,0.01201731,0.00106639,0.00627252,0.00416607,0.00635817,0.00000000,0.00000000,0.00000000
L22-one,0.00000000,0.00000000,0.79390824,0.00181176,0.00570040,0.00341135,0.00190149,0.00366144,0.00939361,0.00806166,0.00215793,0.01959824,0.07597686,0.01841669,0.00423475,0.03014151,0.00125031,0.00729747,0.00375181,0.00352413,0.00580035,0.00000000,0.00000000
L22-word,0.00000000,0.00000000,0.62213647,0.00391015,0.00372976,0.00479302,0.00662862,0.01392824,0.02114823,0.02130478,0.00678763,0.12960836,0.04436217,0.02429052,0.02599825,0.04292244,0.00482177,0.00862104,0.00588068,0.00303692,0.00272782,0.00336314,0.00000000
"L22-:""",0.00000000,0.00000000,0.65377945,0.00133503,0.00134658,0.00280311,0.00439280,0.01140108,0.02263308,0.01305589,0.00612458,0.09013171,0.05477364,0.01500567,0.05114324,0.04576942,0.00305370,0.00509237,0.00151499,0.00100135,0.00198693,0.00147779,0.01217747
L22-mean,0.00000000,0.00000000,0.73046871,0.00246922,0.00335495,0.00553212,0.00537844,0.00790807,0.01937186,0.01446379,0.00420365,0.05879578,0.04843254,0.01955613,0.01961236,0.03612580,0.00299895,0.00863568,0.00440112,0.00278411,0.00210302,0.00096819,0.00243549
L24-means,0.00000000,0.00000000,0.60427588,0.00467672,0.00609027,0.02166348,0.01918742,0.04860701,0.16974370,0.01804973,0.00838568,0.00617746,0.00416909,0.02504529,0.00868875,0.01150601,0.00605927,0.02921109,0.00846325,0.00000000,0.00000000,0.00000000,0.00000000
L24-in,0.00000000,0.00000000,0.94026202,0.00114569,0.00379254,0.00603950,0.00366602,0.00234887,0.00203575,0.00044432,0.00078777,0.00139228,0.00050255,0.00074568,0.00217981,0.00104927,0.00114806,0.01283204,0.00381166,0.01581617,0.00000000,0.00000000,0.00000000
L24-one,0.00000000,0.00000000,0.97169256,0.00027885,0.00097785,0.00346693,0.00173397,0.00064595,0.00285994,0.00073041,0.00031432,0.00052046,0.00060552,0.00097201,0.00099590,0.00055895,0.00116872,0.00604962,0.00246524,0.00114273,0.00282009,0.00000000,0.00000000
L24-word,0.00000000,0.00000000,0.86919129,0.00691159,0.00563668,0.00898048,0.00545639,0.01098329,0.03875754,0.00642382,0.00294977,0.00269991,0.00246918,0.00902783,0.00304458,0.00250961,0.00307152,0.00913272,0.00347897,0.00228087,0.00100136,0.00599260,0.00000000
"L24-:""",0.00000000,0.00000000,0.72254324,0.00160502,0.00012977,0.00118089,0.00214035,0.03061923,0.17476764,0.00753217,0.00254503,0.00526853,0.00334665,0.02276353,0.00751748,0.00518641,0.00165183,0.00079844,0.00013698,0.00085986,0.00118720,0.00046816,0.00775156
L24-mean,0.00000000,0.00000000,0.82159300,0.00292357,0.00332542,0.00826626,0.00643683,0.01864087,0.07763291,0.00663609,0.00299651,0.00321173,0.00221860,0.01171087,0.00448530,0.00416205,0.00261988,0.01160478,0.00367122,0.00401992,0.00100173,0.00129215,0.00155031
L29-means,0.00000000,0.00000000,0.49962559,0.00211633,0.01857990,0.01563450,0.01232464,0.00866142,0.05034411,0.00390618,0.00491501,0.18007433,0.06147152,0.00795387,0.03801566,0.05635526,0.01421929,0.01695222,0.00885014,0.00000000,0.00000000,0.00000000,0.00000000
L29-in,0.00000000,0.00000000,0.88536179,0.00110266,0.02230920,0.00814852,0.00670321,0.00073630,0.00831364,0.00020522,0.00044087,0.02925551,0.01152265,0.00064953,0.00332858,0.00367321,0.00225211,0.00488406,0.00272533,0.00838764,0.00000000,0.00000000,0.00000000
L29-one,0.00000000,0.00000000,0.89040869,0.00072832,0.01206657,0.00537305,0.00138200,0.00024256,0.00857936,0.00011999,0.00010410,0.03666033,0.03423232,0.00039681,0.00096979,0.00160667,0.00079860,0.00125840,0.00086331,0.00012457,0.00408461,0.00000000,0.00000000
L29-word,0.00000000,0.00000000,0.37864175,0.00212475,0.01151565,0.01331695,0.00992889,0.00903924,0.05141148,0.00425011,0.00368677,0.23650916,0.08440977,0.00684612,0.04341347,0.07961687,0.01056483,0.00667817,0.00661883,0.00296497,0.00743359,0.03102865,0.00000000
"L29-:""",0.00000000,0.00000000,0.38163832,0.00136789,0.00403005,0.01129258,0.01322375,0.02160420,0.07198334,0.00942844,0.00447858,0.20253676,0.08959326,0.02241031,0.03530018,0.05883567,0.01483643,0.00839627,0.00325446,0.00214630,0.00356246,0.01041079,0.02966990
