row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:This,9:sentence,10::,"11:""",12:the,13:notificati…,14:was,15:first,16:reported,17:fr,18:iday,19:by,20:ms,21:nb,22:c,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
"L7-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95008504,0.00151711,0.00054889,0.00056191,0.00514482,0.03344730,0.00143244,0.00008755,0.00040310,0.00008928,0.00002483,0.00002591,0.00040212,0.00114814,0.00009140,0.00006502,0.00009599,0.00200810,0.00242767,0.00010583,0.00000771,0.00000943,0.00027043
L7-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98396062,0.00140440,0.00046794,0.00120994,0.00138918,0.00694263,0.00041490,0.00003312,0.00015452,0.00026108,0.00001689,0.00001449,0.00024537,0.00043023,0.00012434,0.00005043,0.00003522,0.00056639,0.00064654,0.00033750,0.00100421,0.00023598,0.00005409
L8-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99607372,0.00027229,0.00003643,0.00119049,0.00082787,0.00022643,0.00009698,0.00003219,0.00043625,0.00004410,0.00003904,0.00000561,0.00000096,0.00013320,0.00007407,0.00000370,0.00001445,0.00004137,0.00045091,0.00000000,0.00000000,0.00000000,0.00000000
L8-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99779570,0.00071572,0.00002338,0.00007393,0.00007615,0.00000076,0.00007908,0.00000023,0.00001629,0.00000322,0.00000022,0.00000083,0.00000001,0.00073554,0.00000973,0.00000328,0.00000213,0.00007919,0.00000467,0.00038005,0.00000000,0.00000000,0.00000000
L8-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99867344,0.00023844,0.00038818,0.00004461,0.00001572,0.00000414,0.00006995,0.00000024,0.00000018,0.00022350,0.00000007,0.00000074,0.00000251,0.00023506,0.00000022,0.00000030,0.00000084,0.00001495,0.00000665,0.00000020,0.00008004,0.00000000,0.00000000
L8-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99690151,0.00009445,0.00003449,0.00068280,0.00012748,0.00001258,0.00003214,0.00000442,0.00004359,0.00006377,0.00000485,0.00000237,0.00037609,0.00018948,0.00000687,0.00001038,0.00002074,0.00051179,0.00084651,0.00002387,0.00000070,0.00000926,0.00000000
"L8-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.67991334,0.00037200,0.00098535,0.00002876,0.00138172,0.30554056,0.00332065,0.00018486,0.00022549,0.00001000,0.00000219,0.00000379,0.00011020,0.00051838,0.00001987,0.00001179,0.00016071,0.00050061,0.00657211,0.00006897,0.00000095,0.00000416,0.00006359
L8-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93387154,0.00033858,0.00029357,0.00040412,0.00048579,0.06115689,0.00071976,0.00004439,0.00014436,0.00006892,0.00000927,0.00000267,0.00009795,0.00036233,0.00002215,0.00000589,0.00003977,0.00022958,0.00157617,0.00009462,0.00001634,0.00000268,0.00001272
L11-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96562397,0.00084373,0.00005068,0.00293048,0.00462940,0.00088379,0.00053789,0.00022384,0.01285292,0.00193400,0.00491147,0.00172540,0.00041855,0.00041251,0.00074570,0.00016947,0.00004613,0.00047202,0.00058805,0.00000000,0.00000000,0.00000000,0.00000000
L11-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99687296,0.00070975,0.00012291,0.00023287,0.00021862,0.00002802,0.00016752,0.00000699,0.00001636,0.00006626,0.00001050,0.00026732,0.00002046,0.00009477,0.00047210,0.00008481,0.00000553,0.00003930,0.00002243,0.00054045,0.00000000,0.00000000,0.00000000
L11-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99834490,0.00030194,0.00038319,0.00014580,0.00002160,0.00000177,0.00004249,0.00000076,0.00000011,0.00003317,0.00000032,0.00002704,0.00001987,0.00000855,0.00012420,0.00001316,0.00000509,0.00001456,0.00001402,0.00000307,0.00049428,0.00000000,0.00000000
L11-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98952055,0.00043763,0.00002804,0.00354068,0.00082994,0.00003590,0.00011285,0.00007203,0.00003926,0.00047298,0.00014256,0.00011946,0.00066252,0.00007721,0.00004654,0.00003404,0.00009418,0.00029675,0.00029819,0.00052600,0.00041457,0.00219797,0.00000000
"L11-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93684101,0.00171543,0.00052649,0.00052850,0.00848797,0.04194320,0.00582518,0.00028330,0.00151054,0.00007881,0.00002465,0.00012588,0.00002745,0.00013507,0.00023530,0.00006755,0.00002645,0.00052520,0.00038454,0.00012640,0.00021996,0.00009426,0.00026690
L11-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97744068,0.00080169,0.00022226,0.00147567,0.00283751,0.00857854,0.00133719,0.00011738,0.00288384,0.00051704,0.00101790,0.00045302,0.00022977,0.00014562,0.00032477,0.00007381,0.00003548,0.00026957,0.00026145,0.00023918,0.00022576,0.00045845,0.00005338
L13-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95373285,0.00393817,0.00346052,0.00637608,0.00327059,0.00937849,0.00115820,0.00014696,0.00026039,0.00033950,0.00078739,0.00011780,0.00026371,0.00037464,0.00011990,0.00012363,0.00068338,0.00581864,0.00964918,0.00000000,0.00000000,0.00000000,0.00000000
L13-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94538093,0.00381124,0.02327945,0.00646405,0.00092848,0.00258962,0.00480820,0.00004574,0.00021448,0.00025526,0.00034452,0.00060196,0.00023235,0.00040338,0.00100698,0.00008654,0.00063279,0.00054846,0.00629801,0.00206759,0.00000000,0.00000000,0.00000000
L13-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94986475,0.00303927,0.00810626,0.01360431,0.00168622,0.00161222,0.00481884,0.00010131,0.00019903,0.00046715,0.00075119,0.00316347,0.00072687,0.00023317,0.00015465,0.00005647,0.00098332,0.00237361,0.00275363,0.00033569,0.00496858,0.00000000,0.00000000
L13-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95694256,0.00536683,0.00250162,0.00865695,0.00275599,0.00525854,0.00225647,0.00024303,0.00054969,0.00110122,0.00174522,0.00023555,0.00037913,0.00040776,0.00028651,0.00012976,0.00066596,0.00440859,0.00260358,0.00125320,0.00006780,0.00218402,0.00000000
"L13-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.72408307,0.01168178,0.00869333,0.00885719,0.00945121,0.08528195,0.02473047,0.01274841,0.00637384,0.00175776,0.00528913,0.00193232,0.00259131,0.00133559,0.00106512,0.00057076,0.00292264,0.05230108,0.00977063,0.01892225,0.00045412,0.00168006,0.00750601
L13-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.90600083,0.00556746,0.00920824,0.00879172,0.00361850,0.02082416,0.00755444,0.00265709,0.00151949,0.00078418,0.00178349,0.00121022,0.00083868,0.00055091,0.00052663,0.00019343,0.00117762,0.01309008,0.00621501,0.00451575,0.00109810,0.00077282,0.00150120
L14-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.46827379,0.00413913,0.00599763,0.02047192,0.02384886,0.06636754,0.04001181,0.07569878,0.07216110,0.02412693,0.03521445,0.02094215,0.03693560,0.02570400,0.01158996,0.02954271,0.02986987,0.00525721,0.00384661,0.00000000,0.00000000,0.00000000,0.00000000
L14-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.56430954,0.00869580,0.01856267,0.02506645,0.02926662,0.02706355,0.02986708,0.02231714,0.02869481,0.01854076,0.01490371,0.07479226,0.03708578,0.02008011,0.02366617,0.03578492,0.01323531,0.00462589,0.00219782,0.00124366,0.00000000,0.00000000,0.00000000
L14-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54749060,0.00730193,0.01444194,0.02323711,0.02299846,0.00682914,0.00713510,0.00475355,0.01108202,0.02676306,0.01822736,0.14067528,0.04796470,0.01816276,0.01046524,0.02939572,0.04080731,0.01318170,0.00569291,0.00061972,0.00277440,0.00000000,0.00000000
L14-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.86906093,0.00278492,0.00466046,0.00952245,0.00873874,0.02173131,0.00761152,0.00920911,0.00439233,0.00205709,0.00741728,0.00156990,0.00366188,0.00352645,0.00310140,0.00284130,0.00853969,0.00417359,0.00198760,0.00296589,0.00135627,0.01908999,0.00000000
"L14-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08343110,0.00542700,0.00872428,0.03514086,0.10593763,0.16985418,0.06849389,0.24647468,0.06511680,0.03832357,0.01979361,0.02033309,0.04363631,0.01152936,0.00411508,0.00965892,0.03649058,0.00980458,0.00439828,0.00445113,0.00246865,0.00399184,0.00240454
L14-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50651319,0.00566976,0.01047740,0.02268776,0.03815806,0.05836914,0.03062388,0.07169065,0.03628941,0.02196228,0.01911128,0.05166254,0.03385685,0.01580054,0.01058757,0.02144471,0.02578855,0.00740859,0.00362465,0.00185608,0.00131987,0.00461637,0.00048091
L15-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.58766615,0.01910923,0.03474848,0.01874129,0.02217463,0.02976202,0.04712575,0.01974331,0.03109440,0.02174117,0.01398256,0.01760506,0.00624923,0.02665126,0.00640619,0.00622560,0.01151442,0.05210242,0.02735675,0.00000000,0.00000000,0.00000000,0.00000000
L15-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.49841741,0.01163481,0.01326267,0.00365343,0.00434134,0.00433956,0.02692475,0.00791553,0.07199557,0.07137176,0.02610499,0.08185154,0.04149611,0.02854612,0.02789282,0.02796746,0.01760982,0.01671634,0.00863798,0.00931996,0.00000000,0.00000000,0.00000000
L15-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.78822231,0.00947716,0.05435453,0.00624097,0.00370439,0.00116913,0.00517091,0.00063127,0.00333305,0.00765340,0.00712390,0.01186257,0.00498374,0.00691154,0.01552861,0.00994841,0.00666629,0.01659006,0.01929428,0.00598705,0.01514633,0.00000000,0.00000000
L15-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81328106,0.00994049,0.02071005,0.01236317,0.01748799,0.01450558,0.00460818,0.00228002,0.00294022,0.00369423,0.00470281,0.00337096,0.00227930,0.00377128,0.00082170,0.00115634,0.00789509,0.02100100,0.02762065,0.00481814,0.00202424,0.01872757,0.00000000
"L15-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20445336,0.00115693,0.00092039,0.00112663,0.00334235,0.05218404,0.07840510,0.27965245,0.18717897,0.08061384,0.00906050,0.04690754,0.01733103,0.01094650,0.00146805,0.00600863,0.00952091,0.00591719,0.00066307,0.00045455,0.00029078,0.00012372,0.00227349
L15-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.57840806,0.01026372,0.02479922,0.00842510,0.01021014,0.02039207,0.03244694,0.06204452,0.05930844,0.03701488,0.01219495,0.03231953,0.01446788,0.01536534,0.01042348,0.01026129,0.01064131,0.02246540,0.01671455,0.00411594,0.00349227,0.00377026,0.00045470
L16-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87591684,0.00586517,0.00224987,0.02212002,0.06123078,0.00257184,0.00021006,0.00012231,0.00467705,0.00176163,0.00646537,0.00409871,0.00214264,0.00307806,0.00016057,0.00009857,0.00006899,0.00048334,0.00667821,0.00000000,0.00000000,0.00000000,0.00000000
L16-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93986475,0.00622387,0.00206241,0.00133371,0.00939143,0.00113687,0.00061880,0.00007186,0.00092565,0.00198303,0.00079983,0.00188504,0.01330458,0.00699017,0.00128403,0.00339113,0.00040821,0.00015121,0.00041789,0.00775551,0.00000000,0.00000000,0.00000000
L16-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97122848,0.00159358,0.00730154,0.00393503,0.00084607,0.00007309,0.00064417,0.00007696,0.00008297,0.00157539,0.00035489,0.00063322,0.00563555,0.00197340,0.00143505,0.00092672,0.00015851,0.00004194,0.00004457,0.00017521,0.00126366,0.00000000,0.00000000
L16-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91877985,0.00297996,0.00035487,0.01397020,0.01101108,0.00068172,0.00004986,0.00022914,0.00024109,0.00298910,0.00311030,0.00309230,0.01244134,0.00358844,0.00015943,0.00014200,0.00064220,0.00109719,0.00624334,0.00790418,0.00420847,0.00608378,0.00000000
"L16-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.85518277,0.00302049,0.00020580,0.00065568,0.01748545,0.08514477,0.00204735,0.00118714,0.00144043,0.00045715,0.00094584,0.00130583,0.00120382,0.00743763,0.00102428,0.00053030,0.00036597,0.01125402,0.00196890,0.00076073,0.00095481,0.00037737,0.00504359
L16-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91219454,0.00393661,0.00243490,0.00840293,0.01999296,0.01792166,0.00071405,0.00033748,0.00147344,0.00175326,0.00233525,0.00220302,0.00694558,0.00461354,0.00081267,0.00101774,0.00032877,0.00260554,0.00307058,0.00331913,0.00128539,0.00129223,0.00100872
L17-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.51784182,0.01166006,0.01210569,0.02373100,0.02157293,0.03652849,0.05576783,0.03132781,0.02974968,0.01994503,0.00842261,0.04522321,0.03107990,0.01277795,0.02082079,0.04709814,0.02633256,0.03220805,0.01580644,0.00000000,0.00000000,0.00000000,0.00000000
L17-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54467976,0.00777774,0.01244626,0.01338835,0.01488286,0.00890759,0.02282134,0.00913933,0.01856012,0.04908429,0.01288820,0.06539158,0.04379651,0.01127069,0.01822203,0.03629111,0.04082704,0.03520390,0.02123905,0.01318227,0.00000000,0.00000000,0.00000000
L17-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.63504303,0.00606109,0.02703821,0.05215093,0.04025314,0.00774537,0.00816689,0.00368918,0.00578135,0.02676710,0.00927069,0.02499456,0.02203035,0.00599138,0.00652355,0.01070268,0.01771916,0.04588661,0.02801802,0.00809611,0.00807058,0.00000000,0.00000000
L17-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.61747837,0.01183526,0.01593344,0.01449545,0.01337929,0.01038233,0.03154729,0.00978304,0.01349457,0.01851710,0.00813610,0.01602898,0.04249530,0.00541668,0.00274940,0.00476250,0.02045330,0.02759523,0.02136525,0.01042059,0.00440782,0.07932277,0.00000000
"L17-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.37001055,0.00208851,0.00169269,0.00566716,0.01033555,0.00822778,0.05345138,0.02044447,0.04677501,0.04327239,0.01192824,0.20296195,0.05966145,0.01003306,0.02475719,0.03878400,0.02028762,0.01481609,0.00436445,0.00261688,0.00181591,0.00431877,0.04168899
L17-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.53701071,0.00788453,0.01384326,0.02188658,0.02008475,0.01435831,0.03435094,0.01487677,0.02287215,0.03151718,0.01012917,0.07092006,0.03981270,0.00909795,0.01461459,0.02752769,0.02512394,0.03114198,0.01815864,0.00686317,0.00285886,0.01672831,0.00833780
L18-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.64785022,0.01466898,0.00210437,0.00526821,0.01482129,0.03354445,0.00783211,0.01849328,0.01571278,0.00665457,0.01326569,0.13293682,0.01500303,0.02271730,0.00929604,0.01179095,0.01401513,0.01163502,0.00238988,0.00000000,0.00000000,0.00000000,0.00000000
L18-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81621128,0.01116720,0.00351766,0.00184088,0.00456900,0.01042956,0.00434170,0.00365219,0.00451196,0.00337087,0.00349930,0.06254783,0.00992385,0.01079810,0.01605283,0.02168732,0.00613822,0.00286045,0.00152048,0.00135927,0.00000000,0.00000000,0.00000000
L18-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84574908,0.00236053,0.08544391,0.00542213,0.00347979,0.00129976,0.00838848,0.00203676,0.00105629,0.00586937,0.00175796,0.01623901,0.00448798,0.00129825,0.00130745,0.00291623,0.00466813,0.00135718,0.00386944,0.00020593,0.00078635,0.00000000,0.00000000
L18-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84098107,0.01501310,0.00228621,0.00411138,0.00753635,0.04462540,0.00796459,0.00777975,0.00630922,0.00433715,0.01460660,0.01095096,0.00601258,0.00801712,0.00158576,0.00222155,0.00404990,0.00388366,0.00221099,0.00165966,0.00137538,0.00248156,0.00000000
"L18-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60870463,0.00109438,0.00030928,0.00057754,0.00243095,0.01178964,0.03069267,0.00386046,0.00526026,0.00592172,0.02007187,0.09512889,0.00399126,0.04448959,0.11255391,0.04185712,0.00789027,0.00160350,0.00006424,0.00012631,0.00028418,0.00006768,0.00122970
L18-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75189925,0.00886084,0.01873229,0.00344403,0.00656748,0.02033776,0.01184391,0.00716449,0.00657010,0.00523074,0.01064028,0.06356070,0.00788374,0.01746407,0.02815920,0.01609463,0.00735233,0.00426796,0.00201101,0.00067023,0.00048918,0.00050985,0.00024594
L19-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42380011,0.00787865,0.02135138,0.01238882,0.01502133,0.04736758,0.11503504,0.01554483,0.03900934,0.04226876,0.09842084,0.03986233,0.01450637,0.08106197,0.01161002,0.00470905,0.00310219,0.00447648,0.00258493,0.00000000,0.00000000,0.00000000,0.00000000
L19-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83163983,0.00484311,0.00841483,0.00401468,0.00799445,0.00304073,0.00771721,0.00048490,0.00206211,0.00593951,0.02186544,0.01109298,0.00428995,0.04994439,0.02211194,0.00340870,0.00163719,0.00207879,0.00079872,0.00662053,0.00000000,0.00000000,0.00000000
L19-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82457405,0.00172482,0.04340758,0.01298774,0.00558606,0.00115767,0.01311353,0.00084422,0.00199350,0.00674893,0.01740874,0.00888088,0.00503275,0.02217837,0.00929863,0.00246467,0.00335618,0.00157320,0.00143918,0.00243825,0.01379118,0.00000000,0.00000000
L19-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.64868754,0.01256371,0.02861289,0.01820976,0.01579694,0.07762853,0.05665325,0.00584302,0.00733985,0.00944221,0.05680256,0.00377209,0.00504717,0.02884455,0.00238731,0.00111700,0.00260193,0.00311473,0.00389892,0.00458146,0.00495918,0.00209549,0.00000000
"L19-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.13233615,0.00170397,0.00298012,0.00205547,0.00473908,0.04013287,0.24983992,0.02038981,0.05492945,0.32602525,0.04277664,0.02308932,0.01289776,0.05309269,0.02041632,0.00437849,0.00313867,0.00225270,0.00041844,0.00055214,0.00062877,0.00013280,0.00109315
L19-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.57220754,0.00574285,0.02095336,0.00993129,0.00982757,0.03386548,0.08847179,0.00862136,0.02106685,0.07808493,0.04745485,0.01733952,0.00835480,0.04702439,0.01316484,0.00321558,0.00276724,0.00269918,0.00182804,0.00283848,0.00387583,0.00044566,0.00021863
L20-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.29613698,0.00655284,0.00463902,0.01293136,0.00948131,0.03040650,0.24876893,0.08217361,0.03816272,0.13006555,0.02113063,0.02850997,0.02915342,0.00869564,0.00285532,0.01195340,0.00625343,0.02133853,0.01079086,0.00000000,0.00000000,0.00000000,0.00000000
L20-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.68215674,0.00020872,0.00056259,0.00403330,0.00238761,0.00670480,0.16484016,0.04372103,0.02195890,0.02927215,0.00621136,0.01303635,0.00443902,0.00368125,0.00068747,0.00213328,0.00130505,0.00859623,0.00270509,0.00135898,0.00000000,0.00000000,0.00000000
L20-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81591696,0.00137248,0.00323828,0.00752616,0.00434202,0.00247077,0.06115737,0.01507514,0.00919546,0.03941907,0.00157142,0.01111303,0.00960182,0.00101329,0.00037106,0.00278288,0.00224340,0.00753473,0.00174497,0.00059238,0.00171738,0.00000000,0.00000000
L20-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.65683383,0.00658437,0.00679140,0.02218558,0.01270941,0.01654506,0.03763734,0.02975422,0.00900965,0.04713685,0.00709786,0.00818906,0.02033151,0.00314194,0.00098990,0.00588039,0.00717693,0.03556053,0.04808936,0.00625185,0.00461084,0.00749211,0.00000000
"L20-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.27882969,0.00118715,0.00198849,0.00483739,0.00619027,0.01980992,0.18865725,0.08650754,0.05647152,0.22774513,0.00896423,0.05629304,0.02020701,0.00768906,0.00206053,0.00793191,0.00406708,0.00832976,0.00481678,0.00195150,0.00059931,0.00023760,0.00462779
L20-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54597484,0.00318111,0.00344396,0.01030276,0.00702212,0.01518741,0.14021221,0.05144631,0.02695965,0.09472775,0.00899510,0.02342829,0.01674656,0.00484423,0.00139286,0.00613637,0.00420918,0.01627196,0.01362941,0.00203094,0.00138551,0.00154594,0.00092556
L21-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.72726572,0.00193419,0.01119347,0.00495666,0.00259670,0.01072290,0.02909342,0.00397755,0.01015466,0.07280344,0.01354469,0.04005150,0.00498502,0.04572985,0.00330586,0.00595816,0.00397665,0.00441539,0.00333425,0.00000000,0.00000000,0.00000000,0.00000000
